City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Windspeed
0,jamestown,0,US,1651344188,22,42.097,-79.2353,65.52,3.44
1,jumla,71,NP,1651344271,75,29.2747,82.1838,51.24,3.76
2,arraial do cabo,75,BR,1651344271,78,-22.9661,-42.0278,76.86,9.22
3,port alfred,2,ZA,1651344272,79,-33.5906,26.891,59.18,4.0
4,busselton,0,AU,1651344272,86,-33.65,115.3333,55.24,5.44
5,half moon bay,20,US,1651344273,69,37.4636,-122.4286,73.06,28.77
6,thompson,75,CA,1651344074,60,55.7435,-97.8558,41.16,10.36
7,hermanus,100,ZA,1651344273,86,-34.4187,19.2345,59.29,4.12
8,kapaa,40,US,1651344274,78,22.0752,-159.319,77.11,19.57
9,geraldton,0,AU,1651344274,71,-28.7667,114.6,55.81,9.22
10,safaga,0,EG,1651344275,40,26.7292,33.9365,82.9,7.72
11,codrington,100,AU,1651344275,84,-38.2667,141.9667,57.04,13.91
12,bluff,100,NZ,1651344276,65,-46.6,168.3333,63.81,18.43
13,tasiilaq,11,GL,1651344049,55,65.6145,-37.6368,42.96,3.09
14,margate,100,GB,1651344276,74,51.3813,1.3862,52.3,1.99
15,butaritari,100,KI,1651344277,83,3.0707,172.7902,80.53,13.18
16,cabra,26,ES,1651344277,38,37.4725,-4.4421,65.91,0.74
17,vestmanna,20,FO,1651344278,81,62.1564,-7.1664,45.52,9.22
18,zapolyarnyy,23,RU,1651344172,82,69.4154,30.8136,25.88,6.11
19,pedasi,92,PA,1651344278,72,7.5333,-80.0333,83.21,2.1
20,albany,89,US,1651344258,27,42.6001,-73.9662,62.58,1.99
21,gurupi,75,BR,1651344279,46,-11.7292,-49.0686,87.48,4.47
22,itarema,13,BR,1651344279,82,-2.9248,-39.9167,82.18,9.33
23,clyde river,100,CA,1651344143,86,70.4692,-68.5914,16.03,8.05
24,bay roberts,100,CA,1651344280,93,47.5999,-53.2648,45.52,3.0
25,klaksvik,25,FO,1651344281,87,62.2266,-6.589,47.32,8.5
26,fort nelson,40,CA,1651344281,56,58.8053,-122.7002,42.39,8.05
27,cabo san lucas,81,MX,1651344195,51,22.8909,-109.9124,87.1,1.99
28,soe,60,ID,1651344282,89,-9.8607,124.284,67.89,4.07
29,cape town,0,ZA,1651344071,74,-33.9258,18.4232,61.27,8.05
30,bubaque,58,GW,1651344282,72,11.2833,-15.8333,77.29,13.62
31,hithadhoo,100,MV,1651344283,68,-0.6,73.0833,85.53,14.94
32,hasaki,100,JP,1651344228,59,35.7333,140.8333,48.6,11.05
33,puerto pailas,0,BO,1651344284,38,-17.667,-62.7909,83.89,8.41
34,hobart,40,AU,1651344284,86,-42.8794,147.3294,57.06,13.8
35,vredendal,8,ZA,1651344285,73,-31.6683,18.5012,58.93,7.76
36,flagstaff,0,US,1651344285,15,35.1981,-111.6513,72.52,5.75
37,kidal,100,ML,1651344285,10,18.4411,1.4078,92.62,12.03
38,peniche,3,PT,1651344286,82,39.3558,-9.3811,61.45,12.12
39,batagay-alyta,6,RU,1651344287,88,67.8006,130.4114,-0.26,5.21
40,rosarito,9,MX,1651343989,70,32.3333,-117.0333,77.63,7.25
41,punta arenas,40,CL,1651344174,70,-53.15,-70.9167,44.71,9.22
42,husavik,100,IS,1651344287,56,66.0449,-17.3389,50.94,5.37
43,vila velha,20,BR,1651344057,77,-20.3297,-40.2925,85.95,9.22
44,rikitea,53,PF,1651344288,75,-23.1203,-134.9692,75.87,12.26
45,shimoda,100,JP,1651344288,67,34.6667,138.95,52.11,5.06
46,coihaique,75,CL,1651344289,66,-45.5752,-72.0662,52.41,5.75
47,atuona,6,PF,1651344289,76,-9.8,-139.0333,78.89,13.89
48,ust-nera,97,RU,1651344290,95,64.5667,143.2,24.6,4.74
49,bilma,31,NE,1651344290,8,18.6853,12.9164,95.61,4.18
50,qaanaaq,94,GL,1651344291,72,77.484,-69.3632,18.12,5.46
51,ribeira grande,20,PT,1651344291,72,38.5167,-28.7,66.6,11.5
52,eyl,38,SO,1651344292,75,7.9803,49.8164,84.25,10.13
53,ushuaia,0,AR,1651344292,81,-54.8,-68.3,40.66,3.44
54,cayenne,20,GF,1651344293,33,4.9333,-52.3333,86.04,13.8
55,road town,75,VG,1651344293,94,18.4167,-64.6167,78.89,5.75
56,baykit,93,RU,1651344294,95,61.67,96.37,29.97,2.26
57,provideniya,100,RU,1651344294,90,64.3833,-173.3,30.13,18.03
58,mataura,100,NZ,1651344294,87,-46.1927,168.8643,63.48,3.71
59,natitingou,100,BJ,1651344295,33,10.3042,1.3796,89.51,3.67
60,airai,92,TL,1651344295,87,-8.9266,125.4092,59.88,3.02
61,avarua,40,CK,1651344296,89,-21.2078,-159.775,78.85,5.75
62,chuy,100,UY,1651344296,57,-33.6971,-53.4616,60.66,6.15
63,east london,0,ZA,1651344297,82,-33.0153,27.9116,59.94,8.05
64,ambon,40,ID,1651344297,78,-3.6954,128.1814,82.54,3.44
65,salamiyah,2,SY,1651344298,66,35.0113,37.0532,65.28,18.75
66,dikson,100,RU,1651344298,95,73.5069,80.5464,16.25,17.81
67,mehamn,95,NO,1651344299,72,71.0357,27.8492,26.19,12.44
68,touros,14,BR,1651344299,67,-5.1989,-35.4608,82.71,16.15
69,mar del plata,0,AR,1651344185,50,-38.0023,-57.5575,57.22,8.05
70,yellowknife,0,CA,1651344229,51,62.456,-114.3525,32.56,4.61
71,katol,0,IN,1651344300,15,21.2667,78.5833,92.3,7.47
72,tuktoyaktuk,20,CA,1651344300,74,69.4541,-133.0374,30.2,6.91
73,yulara,100,AU,1651344301,63,-25.2406,130.9889,60.64,11.5
74,makakilo city,75,US,1651344104,69,21.3469,-158.0858,75.0,10.36
75,georgetown,20,MY,1651344142,89,5.4112,100.3354,82.35,3.44
76,faya,14,SA,1651344302,37,18.3851,42.4509,66.31,10.16
77,seymchan,69,RU,1651344303,96,62.8833,152.4333,14.94,3.09
78,port shepstone,23,ZA,1651344303,76,-30.7414,30.455,64.4,9.55
79,esperance,0,AU,1651344304,72,-33.8667,121.9,55.24,6.78
80,moerai,52,PF,1651344304,69,-22.4333,-151.3333,78.3,12.21
81,new norfolk,100,AU,1651344305,81,-42.7826,147.0587,56.7,3.0
82,labuhan,100,ID,1651344305,88,-6.8844,112.2051,79.47,6.24
83,ahome,78,MX,1651344307,27,25.9167,-109.1833,87.24,10.78
84,sitka,0,US,1651344120,61,57.0531,-135.33,48.09,6.91
85,imbituba,91,BR,1651344308,66,-28.24,-48.6703,70.86,13.56
86,bengkulu,82,ID,1651344309,88,-3.8004,102.2655,76.6,4.16
87,saint george,0,US,1651344036,14,37.1041,-113.5841,78.64,4.0
88,ancud,100,CL,1651344309,77,-41.8697,-73.8203,52.02,7.45
89,kodiak,100,US,1651344310,93,57.79,-152.4072,38.71,31.07
90,danville,100,US,1651344310,72,36.586,-79.395,62.35,3.44
91,flinders,0,AU,1651344311,77,-34.5833,150.8552,56.05,3.0
92,puerto ayora,99,EC,1651344311,79,-0.7393,-90.3518,78.76,9.51
93,gondanglegi,100,ID,1651344312,89,-7.7479,112.0132,76.19,2.39
94,rocha,100,UY,1651344086,56,-34.4833,-54.3333,61.0,2.13
95,saldanha,9,ZA,1651344313,86,-33.0117,17.9442,59.05,12.57
96,tongzhou,0,CN,1651344313,65,39.9053,116.5994,44.71,2.24
97,alberton,100,CA,1651344314,97,46.8168,-64.0654,33.93,20.65
98,jeremie,30,HT,1651344314,73,18.65,-74.1167,80.33,5.41
99,norman wells,0,CA,1651344059,56,65.282,-126.8329,41.04,11.5
100,kaniama,75,CD,1651344315,93,-7.5667,24.1833,67.98,3.58
101,jardim,100,BR,1651344316,32,-21.4803,-56.1381,91.0,5.12
102,nishihara,100,JP,1651344317,73,26.1842,127.7558,70.88,5.75
103,bethel,0,US,1651344165,35,41.3712,-73.414,64.02,8.05
104,krasnyy kommunar,0,RU,1651344318,81,51.9644,55.3668,41.07,6.71
105,victoria,100,HK,1651344149,86,22.2855,114.1577,78.19,13.0
106,nalut,100,LY,1651344318,15,30.3333,10.85,79.81,16.44
107,lebu,2,CL,1651344319,61,-37.6167,-73.65,54.5,14.27
108,castro,47,BR,1651344220,77,-24.7911,-50.0119,69.73,2.62
109,zhangjiakou,1,CN,1651344319,24,40.81,114.8794,46.74,6.55
110,araguaina,100,BR,1651344320,64,-7.1911,-48.2072,84.45,1.57
111,paisley,100,GB,1651344320,86,55.8317,-4.4325,51.37,16.11
112,fukue,100,JP,1651344321,70,32.6881,128.8419,59.95,17.11
113,juba,46,SS,1651344321,79,4.8517,31.5825,71.67,2.44
114,yumen,0,CN,1651344322,29,40.2833,97.2,45.88,2.39
115,hirson,75,FR,1651344323,69,49.9226,4.0826,48.85,6.4
116,drumheller,38,CA,1651344323,23,51.4617,-112.7101,61.93,10.36
117,andra,14,RU,1651344324,74,62.5147,65.8878,31.23,10.2
118,savannakhet,100,LA,1651344324,86,16.566,104.751,76.21,4.97
119,kavaratti,49,IN,1651344144,71,10.5669,72.642,85.17,10.09
120,chokurdakh,29,RU,1651344325,95,70.6333,147.9167,9.99,7.65
121,byron bay,100,AU,1651344325,89,-28.65,153.6167,66.09,12.97
122,port elizabeth,0,ZA,1651344099,76,-33.918,25.5701,62.89,17.27
123,leningradskiy,86,RU,1651344326,94,69.3833,178.4167,6.87,4.88
124,hirara,100,JP,1651344326,86,24.8,125.2833,75.36,10.4
125,yar-sale,52,RU,1651344327,88,66.8333,70.8333,17.58,9.4
