City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Windspeed
0,sambava,20,MG,1651347366,89,-14.2667,50.1667,75.79,9.22
1,namanga,89,KE,1651347366,85,-2.5433,36.7905,65.91,4.29
2,cape town,0,ZA,1651347367,79,-33.9258,18.4232,60.28,4.61
3,kudahuvadhoo,87,MV,1651347368,69,2.6708,72.8944,85.62,16.73
4,kodiak,100,US,1651347368,93,57.79,-152.4072,38.71,31.07
5,bluff,100,NZ,1651347368,66,-46.6,168.3333,64.8,14.05
6,albany,89,US,1651347369,26,42.6001,-73.9662,64.02,1.99
7,salobrena,11,ES,1651347370,67,36.7428,-3.5872,67.46,4.83
8,iqaluit,100,CA,1651347370,73,63.7506,-68.5145,26.33,8.05
9,port hardy,40,CA,1651347296,71,50.6996,-127.4199,53.78,8.05
10,meulaboh,100,ID,1651347371,87,4.1363,96.1285,78.53,0.78
11,busselton,0,AU,1651347371,87,-33.65,115.3333,54.99,5.82
12,rikitea,51,PF,1651347237,76,-23.1203,-134.9692,75.92,12.15
13,plettenberg bay,0,ZA,1651347372,77,-34.0527,23.3716,57.83,6.89
14,nichinan,100,JP,1651347373,79,31.6,131.3667,60.6,4.63
15,luderitz,0,NA,1651347373,66,-26.6481,15.1594,58.8,17.2
16,mataura,100,NZ,1651347374,86,-46.1927,168.8643,64.47,3.8
17,emerald,78,AU,1651347374,88,-23.5333,148.1667,64.54,8.05
18,new norfolk,100,AU,1651347375,78,-42.7826,147.0587,56.91,1.99
19,geraldton,0,AU,1651347084,76,-28.7667,114.6,54.01,10.36
20,lompoc,0,US,1651347375,61,34.6391,-120.4579,83.7,21.85
21,lokosovo,5,RU,1651347376,88,61.1333,74.8167,21.56,5.1
22,kaitangata,100,NZ,1651347273,84,-46.2817,169.8464,50.32,5.82
23,barrow,20,US,1651347116,79,71.2906,-156.7887,17.62,13.8
24,talnakh,100,RU,1651347377,98,69.4865,88.3972,18.21,7.76
25,bantou,100,CN,1651347377,98,26.2151,117.4893,61.45,2.42
26,saskylakh,100,RU,1651347378,93,71.9167,114.0833,10.72,16.37
27,saint-augustin,100,CA,1651347378,88,51.226,-58.6502,38.88,15.93
28,manaure,100,CO,1651347379,66,11.7751,-72.4445,86.11,12.1
29,solnechnyy,51,RU,1651347379,85,50.7214,136.6319,26.13,5.55
30,punta arenas,40,CL,1651347254,76,-53.15,-70.9167,44.71,9.22
31,vaini,100,TO,1651347380,94,-21.2,-175.2,77.16,9.22
32,harper,100,LR,1651347381,79,4.375,-7.7169,81.01,7.61
33,pergamino,55,AR,1651347381,40,-33.89,-60.5736,60.19,7.58
34,ushuaia,0,AR,1651347382,87,-54.8,-68.3,40.66,3.44
35,carnarvon,0,AU,1651347187,55,-24.8667,113.6333,64.47,8.05
36,east london,0,ZA,1651347382,71,-33.0153,27.9116,62.89,12.64
37,lorengau,100,PG,1651347383,79,-2.0226,147.2712,80.58,3.96
38,codrington,100,AU,1651347200,83,-38.2667,141.9667,57.61,13.51
39,roald,75,NO,1651347384,87,62.5833,6.1333,45.52,4.61
40,saint-philippe,9,RE,1651347384,79,-21.3585,55.7679,78.39,11.48
41,thompson,100,CA,1651347385,60,55.7435,-97.8558,41.16,11.5
42,butaritari,74,KI,1651347385,82,3.0707,172.7902,80.82,13.73
43,gidole,77,ET,1651347385,84,5.65,37.3667,58.21,0.6
44,doka,35,SD,1651347386,10,13.5167,35.7667,92.52,6.11
45,abha,0,SA,1651347386,68,18.2164,42.5053,66.02,6.91
46,upernavik,74,GL,1651347387,71,72.7868,-56.1549,19.26,3.18
47,taft,40,IR,1651347387,77,31.7471,54.2088,58.95,2.3
48,port alfred,1,ZA,1651347388,80,-33.5906,26.891,60.19,4.0
49,whittlesea,0,ZA,1651347388,76,-32.1759,26.8244,47.05,4.27
50,nouadhibou,98,MR,1651347327,77,20.931,-17.0347,66.18,20.71
51,san cristobal,100,VE,1651347389,82,7.7669,-72.225,84.38,6.49
52,bairiki,75,KI,1651347389,94,1.3292,172.9752,78.8,5.75
53,riyadh,0,SA,1651347108,24,24.6877,46.7219,78.94,7.61
54,soeng sang,100,TH,1651347390,87,14.4264,102.4606,75.58,0.87
55,jamestown,0,US,1651347390,24,42.097,-79.2353,66.52,8.05
56,hilo,100,US,1651347357,92,19.7297,-155.09,77.29,5.75
57,erdenet,100,MN,1651347325,35,49.0333,104.0833,46.26,0.76
58,santa rosa,100,PH,1651347391,76,14.3122,121.1114,82.38,7.38
59,castro,43,BR,1651347392,86,-24.7911,-50.0119,67.35,1.05
60,kapaa,40,US,1651347392,79,22.0752,-159.319,77.11,17.27
61,nikolskoye,100,RU,1651347393,68,59.7035,30.7861,40.91,6.8
62,puerto ayora,89,EC,1651347393,78,-0.7393,-90.3518,80.56,8.7
63,warmbad,0,NA,1651347393,24,-28.45,18.7333,60.6,4.68
64,dikson,100,RU,1651347243,94,73.5069,80.5464,16.43,18.54
65,utete,68,TZ,1651347394,89,-7.986,38.758,72.43,2.64
66,atuona,7,PF,1651347359,76,-9.8,-139.0333,78.89,13.38
67,hobart,100,AU,1651347188,78,-42.8794,147.3294,57.25,10.36
68,hurghada,0,EG,1651347395,69,27.2574,33.8129,80.64,3.44
69,chesma,100,RU,1651347140,47,53.8111,60.6533,46.31,8.99
70,qui nhon,100,VN,1651347396,90,13.7667,109.2333,78.28,4.56
71,vozhega,46,RU,1651347396,89,60.4725,40.2213,26.47,4.12
72,ixtapa,0,MX,1651347397,61,20.7,-105.2,78.03,11.5
73,hermanus,79,ZA,1651347201,86,-34.4187,19.2345,58.93,3.0
74,bellevue,40,US,1651347286,76,47.6104,-122.2007,58.35,4.61
75,chauk,36,MM,1651347291,52,20.8833,94.8167,87.01,4.74
76,andros town,0,BS,1651347398,58,24.7,-77.7667,80.56,13.85
77,banda aceh,100,ID,1651347398,82,5.5577,95.3222,81.16,7.29
78,severo-kurilsk,100,RU,1651347189,82,50.6789,156.125,34.41,7.09
79,katsuura,100,JP,1651347399,73,35.1333,140.3,56.97,9.55
80,namibe,38,AO,1651347399,81,-15.1961,12.1522,74.95,7.36
81,nuuk,40,GL,1651347400,59,64.1835,-51.7216,27.21,13.8
82,wanning,99,CN,1651347400,92,18.8003,110.3967,76.48,4.09
83,vila velha,20,BR,1651347401,79,-20.3297,-40.2925,84.15,9.22
84,port lincoln,22,AU,1651347401,84,-34.7333,135.8667,58.5,8.32
85,hithadhoo,100,MV,1651347402,68,-0.6,73.0833,85.32,14.65
86,los llanos de aridane,20,ES,1651347402,78,28.6585,-17.9182,65.12,13.8
87,pisco,0,PE,1651347403,64,-13.7,-76.2167,72.01,10.36
